state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,BORKHOLA,117,KISHOR NATH,Bharatiya Janata Party,5863,12243,19978,29368,38498,45304,51572,59810,66760,73073,80917,85574,90502,93596,95140,96688,99256,101768,102185,,,,,,,,,,,,,,,102185,590,102775,58.02,177149
Assam,BORKHOLA,117,SOMPA DEY,Socialist Unity Centre Of India (COMMUNIST),45,82,131,193,268,339,370,420,467,526,580,621,655,692,727,745,760,782,793,,,,,,,,,,,,,,,793,2,795,0.45,177149
Assam,BORKHOLA,117,AMALENDU DAS,Independent,21,45,82,111,194,238,377,496,673,871,1103,1488,1723,2567,3188,3307,3378,3653,3690,,,,,,,,,,,,,,,3690,23,3713,2.1,177149
Assam,BORKHOLA,117,JAHURUL ISLAM BARBHUIYA,Independent,12,42,63,82,106,130,160,192,205,241,327,548,780,893,986,1143,1180,1319,1362,,,,,,,,,,,,,,,1362,4,1366,0.77,177149
Assam,BORKHOLA,117,HIFZUR RAHMAN LASKAR,Independent,50,99,174,232,298,388,436,481,525,618,682,716,751,776,807,826,848,871,891,,,,,,,,,,,,,,,891,0,891,0.5,177149
Assam,BORKHOLA,117,NOTA,None of the Above,64,130,215,291,378,453,530,610,682,800,901,986,1049,1106,1168,1236,1307,1396,1440,,,,,,,,,,,,,,,1440,7,1447,0.82,177149
Assam,CHABUA-LAHOWAL,87,PRANJAL GHATOWAR,Indian National Congress,3018,4885,7240,9300,11420,13839,15816,17679,19610,22135,24746,28148,29903,32504,34875,36909,38048,38197,,,,,,,,,,,,,,,,38197,91,38288,26.08,146834
Assam,CHABUA-LAHOWAL,87,BINOD HAZARIKA,Bharatiya Janata Party,5845,10777,15918,21729,27054,32171,37165,42448,48006,52550,59326,64785,70345,76064,81192,86200,88298,88829,,,,,,,,,,,,,,,,88829,373,89202,60.75,146834
Assam,CHABUA-LAHOWAL,87,INUS KUMAR KANDAPAN,All India Trinamool Congress,150,264,407,556,650,807,937,1088,1222,1387,1500,1645,1744,1895,2045,2214,2240,2253,,,,,,,,,,,,,,,,2253,6,2259,1.54,146834
Assam,CHABUA-LAHOWAL,87,BHUPEN SINGH MURARI,Jharkhand Mukti Morcha,515,1701,3341,4181,4560,5746,6777,8084,8637,9490,9629,10084,10344,10975,11589,13044,13169,13257,,,,,,,,,,,,,,,,13257,8,13265,9.03,146834
